table,used
u_groups,633
pro_bi,580
pro_bi_men,319
u_users,303
pro_cost_baseinfo,272
pro_set_protype,122
proex_group_relation,109
pro_hsjd,104
pro_gx,97
u_user_role,82
pro_set_flow,74
task,66
pro_cost_bi_detail1,63
pro_xcqz,58
u_role,57
pro_zlzg,54
pro_cost_st_myhpro,52
proex_dic,49
pro_hsjd_sign,44
proex_zgcl_gc,42
pro_cost_bi_log,41
pro_sjbg,39
pro_design_task,38
pro_cost_st_szzypro,38
proex_gcl_gc,37
pro_cost_st_gshpro,36
pro_set_wl_meta,34
pro_gx_check,34
pro_men,32
test,31
pro_wl_hx,31
pro_bi_ht,31
proex_gxgk,30
pro_evaluation_gcpj,30
proex_sy_temp,29
proex_aqjd,28
pro_wl_hx_detail,28
pro_gx_log_form,28
pro_gx_log_check,28
proex_wtzg,27
proex_sy_record,27
pro_order,27
pro_cost_wbs,27
proex_zgcl,26
proex_wxzy,26
proex_hjjl,26
pro_wl_plan_ly_detail,26
pro_wl_plan_ly,25
pro_set_wl_meta_factory,25
pro_xcqz_cost_check,24
proex_gcl,23
pro_cost_budget,23
pro_msg_log,22
pro_cost_control,22
view_type_men,21
pro_gx_log,21
pro_camera,21
pro_gx_log_param,20
pro_bi_sgtask,20
proex_jcx,19
pro_set_org_company,19
pro_cost_st_myhwbs,19
proex_remind_roles,18
proex_hj_bi,18
pro_gx_video_state_new,18
pro_design_task_file,18
pro_set_month,17
pro_gx_video_state_realtime,17
pro_bi_plan,17
proex_wxzy_type,16
pro_men_detail,16
pro_evaluation_project,16
pro_bi_bjhg_file,16
user_phonedevice,15
proex_work_remind,15
proex_camera_relation_xmb,15
pro_weld,15
pro_order_detail,15
proex_syb_bi,14
pro_xcqz_check,14
pro_sjbg_check,14
pro_sale_basic,14
pro_qc_problem,14
pro_process_salestate,14
pro_cost_valuation,14
pro_cost_algorithm,14
proex_gxmap,13
pro_set_gx,13
pro_cost_st_gshwbs,13
project_sign,12
proex_gxcfg,12
pro_set_group_pos,12
pro_gx_param,12
pro_gx_form,12
pro_fn_schedule,12
pro_cost_wlhx,12
pro_cost_warn_szzy,12
pro_cost_gc_valuation,12
pro_cost_budgetdetail1,12
proex_aqpx,11
pro_wl_plan_xq,11
pro_qc,11
pro_inspection_file,11
pro_gys,11
pro_bi_bjhg,11
patrolposition,11
proex_wtzg_wt,10
pro_yhjy_dz,10
pro_set_flow_msg,10
pro_evaluation_sjypj,10
pro_cost_valuation_detail,10
wb_other,9
proex_camera_operation,9
pro_template_conf,9
pro_set_sgteam,9
pro_set_gx_param,9
pro_set_gx_form,9
pro_set_cost_wbs,9
pro_set_bjhg,9
pro_gys_comp,9
pro_evaluation_xcglypj,9
pro_evaluation_sgbzpj,9
pro_evaluation_mandetail,9
